cpo_name_cn_t,cpo_name_cn_s,cpo_name_en
Bmw,Bmw,Bmw
Nio,Nio,Nio
Tesla,Tesla,Tesla
百源智聯,百源智联,bai_yuan_zhi_lian
比亞迪,比亚迪,bi_ya_di
濱南時代,滨南时代,bin_nan_shi_dai
車庫電裝,车库电装,che_ku_dian_zhuang
城頭能源,城头能源,cheng_tou_neng_yuan
重慶能源,重庆能源,chong_qing_neng_yuan
達克雲,达克云,da_ke_yun
道唱充充,道唱充充,dao_chang_chong_chong
公交新能源,公交新能源,gong_jiao_xin_neng_yuan
廣汽能源,广汽能源,guang_qi_neng_yuan
國家電網,国家电网,guo_jia_dian_wang
昊柏,昊柏,hao_bai
戶戶充,户户充,hu_hu_chong
華之耀,华之耀,hua_zhi_yao
惠知電,惠知电,hui_zhi_dian
極氪,极氪,ji_ke
吉智能源,吉智能源,ji_zhi_neng_yuan
倢電充,倢电充,jie_dian_chong
聚合快充,聚合快充,ju_he_kuai_chong
開麥斯,开麦斯,kai_mai_si
殼牌,壳牌,ke_pai
快鰻,快鳗,kuai_man
崑崙網電,昆仑网电,kun_lun_wang_dian
藍鯉,蓝鲤,lan_li
嵐圖,岚图,lan_tu
雷曼,雷曼,lei_man
理想,理想,li_xiang
領充,领充,ling_chong
驢充充,驴充充,lv_chong_chong
南方電網,南方电网,nan_fang_dian_wang
帕克公源,帕克公源,pa_ke_gong_yuan
仁和雲朵,仁和云朵,ren_he_yun_duo
潤成達,润成达,run_cheng_da
潤小電,润小电,run_xiao_dian
閃開,闪开,shan_kai
蜀道新能源,蜀道新能源,shu_dao_xin_neng_yuan
四川明星新能源,四川明星新能源,si_chuan_ming_xing_xin_neng_yuan
四川能源,四川能源,si_chuan_neng_yuan
太空充電,太空充电,tai_kong_chong_dian
太能沖,太能冲,tai_neng_chong
特斯拉,特斯拉,te_si_la
特瓦特,特瓦特,te_wa_te
萬淨極速充,万净极速充,wan_jing_ji_su_chong
蔚景雲,蔚景云,wei_jing_yun
衛萊電,卫莱电,wei_lai_dian
武侯商程,武侯商程,wu_hou_shang_cheng
小飛象,小飞象,xiao_fei_xiang
小橘充電,小橘充电,xiao_ju_chong_dian
小可樂,小可乐,xiao_ke_le
小朗新能源,小朗新能源,xiao_lang_xin_neng_yuan
小馬愛充,小马爱充,xiao_ma_ai_chong
小鵬,小鹏,xiao_peng
新電徒,新电徒,xin_dian_tu
幸福千萬家,幸福千万家,xing_fu_qian_wan_jia
星星充電,星星充电,xing_xing_chong_dian
迅電,迅电,xun_dian
易安電,易安电,yi_an_dian
逸安起,逸安起,yi_an_qi
易安裝,易安装,yi_an_zhuang
億匯充,亿汇充,yi_hui_chong
一碼,一码,yi_ma
驛滿充電,驿满充电,yi_man_chong_dian
億謙,亿谦,yi_qian
億天宸,亿天宸,yi_tian_chen
渝快充,渝快充,yu_kuai_chong
愉秒充,愉秒充,yu_miao_chong
嶽華新能源,岳华新能源,yue_hua_xin_neng_yuan
雲谷向黔,云谷向黔,yun_gu_xiang_qian
雲快充,云快充,yun_kuai_chong
雲鯤新能源,云鲲新能源,yun_kun_xin_neng_yuan
智道,智道,zhi_dao
中國石油 金融中心站,中国石油 金融中心站,zhong_guo_shi_you_ _jin_rong_zhong_xin_zhan
中裝天如,中装天如,zhong_zhuang_tian_ru
紫微星科技,紫微星科技,zi_wei_xing_ke_ji
