station_name,longitude,latitude
大充新都锦水苑充电站,104.13989,30.799159
蒲江亿谦充电站3号桩,103.492064,30.212428
石羊场汽车充换电站,103.965681,30.636535
理想超级充电站(理想超充站成都高新新园大道),104.040825,30.593155
仁和云朵超充站,104.039945,30.582385
特来电川能综能-天府国际金融中心充电站,104.06478,30.58007
特来电中国华商金融中心充电站,104.06366,30.580435
中國石油,116.527426,39.94092
高盛公馆充电站,104.061153,30.577617
无诤摩方购物中心充电站,104.05082,30.583433
小鵬超級充電站（都江堰）,103.65882,31.023336
特斯拉(成都仁和新城城市展厅),103.926257,30.596031
億豐匯超級充電站,121.531239,29.914799
武侯商程超充站,104.025561,30.611293
Shell 殼牌,116.460825,39.912875
港投中油高升桥充电站,104.038674,30.641607
云快充汽车充电站(银木佳苑充电站),104.149008,30.59152
百源智联充电站(成都市龙泉普洛斯),104.190641,30.534144
新电途汽车充电站(壹电蜀福卡充电站),104.286579,30.85928
领充双流示范充电站,103.925425,30.558032
惠程科技汽车充电站(商程新能源武侯区水韵园),103.960109,30.610218
蜀道新能源汽车充电站(万贯商城充电站项目),104.003808,30.65195
中电思极能充电站(盛世之都),103.9119,30.631
特瓦特汽车充电站(特瓦特高新宜家超充站),104.06112,30.600351
极氪能源超级充电站(成都凯旋南城超充站),104.04749,30.557981
国家电网汽车充电站(四川省成都市高新区府城大道西段355号石羊充电站),104.05722,30.58805
太空充电汽车充电站(白羊座行星超能舱成都港汇天地),104.059344,30.536858
蔚来能源超级充电站(成都麓湖海浪公园),104.05417,30.461369
南方电网汽车充电站(万纬成都天府物流园充电站),104.17209,30.524163
中装天如(环球都汇充电站),104.109745,30.633307
广汽能源汽车充电站(广汽昊铂成都旭辉广场超充站),104.17833,30.798624
成都招商大魔方充電站,104.071656,30.574272
大潤發理想超級充電站,121.52247,31.288282
特斯拉超級充電站,116.39383,39.96442
眉山服務區汽車充電站,103.812922,30.098712
衛萊電充電站,116.375029,39.908729
逸安启超充站-成都仁和新城,104.053986,30.587212
上海城紫微星超级充电站,106.559617,29.531451
愉秒充九龙坡奥体金龙超充站,106.50547,29.522417
易安充马王场超级充电站,106.49304,29.497229
小可樂科技充電站,113.516948,22.25181
吉智能源充電站,106.61497,29.345453
易安裝老廠充電站,106.598472,29.487839
庫倫超級充電站,121.813325,42.727486
特瓦特超级充电站(茶园),116.426747,39.858571
帕克公源-美业路超级充电站,106.683573,29.52022
新电途汽车充电站(滨南时代I滨南股份站),116.601925,40.044307
小飞象重庆市渝北区华宇御临府五期充电站,106.80899,29.691753
朗新能源投资有限公司充电站(金色阳光充电站),106.632181,29.750623
岳华新能源汽车充电站(汇祥好莱坞站),106.607878,29.7069
驿满充电汽车充电站(驿满开泰路公交),106.596222,29.590635
渝快充汽车充电站(江北五里店站),106.569021,29.588911
润诚达汽车充电站(润宝三狼国际站),106.529612,29.612812
小马爱冲充电站,106.447829,29.494882
润来电超级充电站(重庆盛汇广场充电站),106.56469,29.531256
比亚迪闪充汽车充电站(领汇重庆众迈4S店),106.571009,29.631351
重庆能投云杉智慧双龙路充电站,106.556258,29.508677
易佳電充電站,113.9936,22.6819
迅電充電站,106.424643,29.433097
智道充電站,116.30398,40.05606
中国石化超级充电站(綦江赶水停车区超充站重庆捷充),106.74694,28.68425
聚合快充腾龙湾汽车充电站,106.685307,26.499124
户户充汽车充电站(贵阳壹号新能源充电站),106.712906,26.578213
云谷向黔充汽车充电站(天田智慧产业园慢充),106.607155,26.650513
